id,shop_id,e_time
1,"[{'shop_id': '21159771'}, {'word': 'dishwasher', 'count': 25}, {'word': '11oz', 'count': 25}, {'word': 'mug', 'count': 24}, {'word': 'mughandmade', 'count': 24}, {'word': 'safe.handmade', 'count': 16}]",1568567962.6328988
2,"[{'shop_id': '21158587'}, {'word': 'svg', 'count': 135}, {'word': 'files', 'count': 55}, {'word': 'superhero', 'count': 53}, {'word': '-', 'count': 41}, {'word': 'logo', 'count': 36}]",1568567962.6329358
3,"[{'shop_id': '21155263'}, {'word': '-', 'count': 100}, {'word': 'halloween', 'count': 76}, {'word': 'the', 'count': 75}, {'word': 'files', 'count': 50}, {'word': 'to', 'count': 50}]",1568567962.632954
4,"[{'shop_id': '21155083'}, {'word': 'a', 'count': 47}, {'word': 'with', 'count': 45}, {'word': 'gold', 'count': 35}, {'word': 'hoop', 'count': 22}, {'word': 'plated', 'count': 21}]",1568567962.6329677
5,"[{'shop_id': '21155035'}, {'word': 'or', 'count': 6}, {'word': 'car', 'count': 6}, {'word': 'laptop', 'count': 5}, {'word': 'headband', 'count': 5}, {'word': 'am', 'count': 5}]",1568567962.632981
6,"[{'shop_id': '21154863'}, {'word': 'painted', 'count': 34}, {'word': 'with', 'count': 24}, {'word': 'bottle', 'count': 14}, {'word': 'lightshand', 'count': 10}, {'word': 'glass', 'count': 9}]",1568567962.6329947
7,"[{'shop_id': '21153881'}, {'word': 'your', 'count': 275}, {'word': 'to', 'count': 200}, {'word': 'the', 'count': 200}, {'word': '-', 'count': 175}, {'word': 'of', 'count': 150}]",1568567962.6330094
8,"[{'shop_id': '21152823'}, {'word': 'to', 'count': 425}, {'word': 'the', 'count': 350}, {'word': 'and', 'count': 275}, {'word': 'or', 'count': 225}, {'word': 'will', 'count': 175}]",1568567962.6330225
9,"[{'shop_id': '21152773'}, {'word': 'mandala', 'count': 25}, {'word': 'arthandmade', 'count': 22}, {'word': 'artmandala', 'count': 20}, {'word': 'art', 'count': 3}, {'word': 'arthand', 'count': 2}]",1568567962.6330357
10,"[{'shop_id': '21152547'}, {'word': '-', 'count': 175}, {'word': 'the', 'count': 175}, {'word': 'to', 'count': 125}, {'word': 'with', 'count': 100}, {'word': 'for', 'count': 100}]",1568567962.6330502
